log.freq,log.length
1.55,1.79
2.14,1.90
2.16,1.34
2.16,1.61
2.19,0.74
2.24,1.10
2.39,1.61
2.42,0.47
2.45,0.96
2.54,0.74
2.58,0.99
2.59,1.03
2.62,1.03
2.64,0.96
2.71,0.92
2.75,1.16
2.80,0.41
2.83,0.53
2.87,0.47
2.91,1.19
2.95,0.34
2.95,1.22
2.98,1.44
3.02,0.88
3.03,0.69
3.03,0.41
3.06,0.41
3.07,1.06
3.09,0.41
3.11,0.74
3.14,0.79
3.14,0.47
3.14,0.79
3.18,0.69
3.18,0.18
3.31,1.10
3.32,0.41
3.33,0.59
3.33,0.69
3.43,0.88
3.50,0.41
3.53,0.00
3.58,0.53
3.60,-0.36
3.60,-0.69
3.70,-0.69
3.71,0.34
3.74,0.34
3.74,-0.36
3.86,-0.51
4.16,-0.36
4.18,0.69
4.19,-0.11
4.26,-1.20
4.29,0.00
4.42,0.64
4.66,0.10
4.86,-0.63